nome,nome_civil,data_nascimento,data_falecimento,id_municipio_nascimento,sigla_uf_nascimento,id_deputado,sexo,id_inicial_legislatura,id_final_legislatura,url_site,url_rede_social
MEDEIROS GOMES,João de Medeiros Gomes,,1844-10-31,,,180,Masculino,1,1,,
AUGUSTO DA SILVA,Antonio Augusto da Silva,,1846-01-11,,,112,Masculino,1,3,,
CUNHA MATOS,Raymundo José da Cunha Mattos,1776-11-02,1839-02-23,,,222,Masculino,1,2,,
LINO COUTINHO,José Lino Coutinho,1784-03-31,1836-07-21,,BA,117,Masculino,1,2,,
ALBUQUERQUE,Manoel José de Albuquerque,,1858-05-22,,BA,123,Masculino,1,9,,
MENDES RIBEIRO,João José Lopes Mendes Ribeiro,1774-12-04,1852-03-05,,,144,Masculino,1,2,,
SILVA LOBO,Manoel Telles da Silva Lobo,,1855-02-01,,BA,135,Masculino,1,1,,
SOLEDADE,Antonio Vieira da Soledade,,1836-12-16,,,171,Masculino,1,1,,
PEDREIRA,Luiz Pedreira do Couto Ferraz,1791-06-23,1831-06-29,,,216072,Masculino,1,1,,
XAVIER FERREIRA,Francisco Xavier Ferreira,1771-12-04,1838-04-23,,,170,Masculino,1,1,,
GOMES DA FONSECA,Manoel Gomes da Fonseca,,,,,158,Masculino,1,4,,
CRUZ FERREIRA,José da Cruz Ferreira,,1841-06-26,,RJ,172,Masculino,1,1,,
CASTRO VIANA,Antonio de Castro Viana,,,,,126,Masculino,1,3,,
BARROS LEITE,Luiz José de Barros Leite,,,,,108,Masculino,1,1,,
PINTO DE ALMEIDA,Bernardo Carneiro Pinto de Almeida,,,,,177,Masculino,1,1,,
SOARES DA ROCHA,José Ribeiro Soares da Rocha,,,,,122,Masculino,1,2,,
BARBOSA,Joaquim José Barbosa,1785-10-08,1847-10-30,,CE,124,Masculino,1,1,,
PEREIRA DE BRITO,Caetano Xavier Pereira de Brito,1793-08-08,1828-05-27,,,169,Masculino,1,1,,
CUSTÓDIO DIAS,José Custódio Dias,,1838-01-07,,MG,232,Masculino,1,3,,
COSTA VILAR,Galdino da Costa Villar,,,,,153,Masculino,1,1,,
LOPES MENDES,Joaquim José Lopes Mendes Ribeiro,,,,,139,Masculino,1,1,,
VERGUEIRO,Nicolau Pereira de Campos Vergueiro,1778-12-20,1859-09-18,,,94,Masculino,1,1,,
CAVALCANTI DE ALBUQUERQUE,Francisco de Paula Cavalcanti de Albuquerque,1793-06-10,1880-01-28,,PE,155,Masculino,1,1,,
OLIVEIRA SALGADO,João Chrysostomo de Oliveira Salgado,,,,,181,Masculino,1,1,,
BARBOSA MADUREIRA,José Nunes Barbosa de Madureira Cabral,,,,,184,Masculino,1,1,,
PINTO DO LAGO,Pedro Antonio Pereira Pinto do Lago,,,,,165,Masculino,1,1,,
ORNELLAS,Manoel Joaquim de Ornellas,,1830-07-10,,,52,Masculino,1,2,,
MONSENHOR VIDIGAL,Francisco Corrêa Vidigal,,1838-04-11,,,175,Masculino,1,1,,
HOLLANDA CAVALCANTI,Antonio Francisco de Paula e Hollanda Cavalcanti de Albuquerque,1797-08-21,1863-04-14,,PE,159,Masculino,1,3,,
DEUS E SILVA,João Cândido de Deus e Silva,1787-03-11,1860-08-08,,PA,242,Masculino,1,4,,
VICENTE DA FONSECA,Ignacio José Vicente da Fonseca,,,,,183,Masculino,1,1,,
LEITÃO,Agostinho Leitão de Almeida,,1868-12-17,,,166,Masculino,1,1,,
BATISTA PEREIRA,José Bernardino Baptista Pereira de Almeida,1783-05-20,1861-01-29,,ES,221,Masculino,1,2,,
CORREIA,Francisco José Corrêa,,,,,152,Masculino,1,1,,
ASSIS BARBOSA,Francisco de Assis Barbosa,,,,,119,Masculino,1,1,,
GOMES DE CAMPOS,João Gomes de Campos,,1855-03-11,,RJ,174,Masculino,1,1,,
MAY,Luiz Augusto May,,1850-11-27,,,142,Masculino,1,2,,
COSTA E SILVA,João da Costa e Silva,,,,,109,Masculino,1,1,,
LLAMBI,Francisco Toribio Llambí,1788-04-16,1837-07-10,,,130,Masculino,1,1,,
MACIEL MONTEIRO,Thomaz Antonio Maciel Monteiro,,1847-11-24,,PE,161,Masculino,1,1,,
QUEIROZ CARREIRA,José Gervásio de Queiroz Carreira,,,,,128,Masculino,1,1,,
ROCHA FRANCO,Antonio da Rocha Franco,1777-03-03,1843-10-18,,MG,147,Masculino,1,1,,
REINAUT,Miguel José Reinaut,,,,,163,Masculino,1,1,,
MONTEIRO DE BARROS,Antonio Augusto Monteiro de Barros,,1841-11-16,,,24,Masculino,1,1,,
BISPO DO MARANHÃO,Marcos Antonio de Souza,1771-02-10,1842-11-29,,BA,114,Masculino,1,1,,
PEREIRA DE MELO,José Cardoso Pereira de Mello,,,,,120,Masculino,1,1,,
BORJA PEREIRA,João Francisco de Borja Pereira,,,,,131,Masculino,1,1,,
LUIS CAVALCANTI,Luiz Francisco de Paula Cavalcanti de Albuquerque,1799-04-19,1838-03-13,,PE,160,Masculino,1,3,,
XAVIER DE CARVALHO,Augusto Xavier de Carvalho,,1831-11-12,,,246,Masculino,1,2,,
FARIA BARBOSA,Francisco José de Faria Barbosa,,,,,156,Masculino,1,1,,
HERRERA,Nicoláo Herrera,,,,,129,Masculino,1,1,,
MARTINS PEREIRA,Placido Martins Pereira,,,,,141,Masculino,1,1,,
MAIA,José Antônio da Silva Maia,1789-10-06,1853-10-03,,,23,Masculino,1,2,,
SERPA BRANDÃO,Bernardo José de Serpa Brandão,,,,,164,Masculino,1,1,,
CLEMENTE PEREIRA,José Clemente Pereira,1787-02-17,1854-03-10,,,269,Masculino,1,5,,
DUARTE SILVA,Diogo Duarte Silva,1774-07-10,1857-05-24,,,49,Masculino,1,3,,
AGUILAR,Gustavo Adolpho de Aguilar Pantoja,,1867-03-09,,BA,107,Masculino,1,1,,
SOUSA MELO,José de Souza Mello,,,,,110,Masculino,1,1,,
MELO E SOUZA,Manoel Ignácio de Mello e Souza,,1859-05-20,,,143,Masculino,1,3,,
CHAGAS SANTOS,Francisco das Chagas Santos,1763-09-17,1840-10-12,,GB,46,Masculino,1,1,,
CUSTÓDIO JOSÉ DIAS,Custódio José Dias,,1843-09-07,,MG,231,Masculino,1,2,,
MOURA,Antônio Joaquim de Moura,,,,CE,127,Masculino,1,2,,
AVELINO BARBOSA,José Avelino Barbosa,1784-11-10,1833-01-18,,,113,Masculino,1,1,,
LIMPO DE ABREU,Antônio Paulino Limpo de Abreu,1798-09-22,1883-09-14,,,138,Masculino,1,6,,
ARCEBISPO,Romualdo Antonio de Seixas,1787-11-01,1860-12-29,1502103,PA,150,Masculino,1,4,,
ODORICO MENDES,Manoel Odorico Mendes,1799-01-24,1864-08-17,2111300,MA,134,Masculino,1,6,,
BRICIO,Marcos Antônio Brício,1800-12-24,1871-08-11,2111300,MA,125,Masculino,1,6,,
BRÁULIO MUNIZ,João Braulio Muniz,1796-03-01,1835-09-21,2111300,MA,132,Masculino,1,2,,
CASTRO E SILVA,Manoel do Nascimento Castro e Silva,1788-12-25,1846-10-23,2301109,CE,66,Masculino,1,4,,
ALMEIDA E CASTRO,Ignacio Pinto de Almeida e Castro,1766-08-30,,2408102,RN,76,Masculino,1,1,,
GARCIA DE ALMEIDA,Thomaz Xavier Garcia de Almeida,1792-06-14,1870-01-11,2408102,RN,157,Masculino,1,5,,
MONTEIRO DE FRANÇA,Francisco Xavier Monteiro de França,1773-06-15,1851-06-16,2507507,PB,74,Masculino,1,1,,
LOPES GAMA,Caetano Maria Lopes Gama,1795-08-05,1864-06-21,2611606,PE,2,Masculino,1,2,,
PAULA DE ALBUQUERQUE,Francisco de Paula de Almeida e Albuquerque,1795-10-31,1868-07-07,2611606,PE,162,Masculino,1,4,,
ALMEIDA E ALBUQUERQUE,Manoel Caetano de Almeida e Albuquerque,,1844-10-14,2611606,PE,30,Masculino,1,1,,
PIRES FERREIRA,Domingos Malaquias de Aguiar Pires Ferreira,1788-11-03,1859-12-10,2611606,PE,77,Masculino,1,1,,
ARAÚJO LIMA,Pedro de Araujo Lima,1793-12-22,1870-06-07,2614204,PE,154,Masculino,1,3,,
SILVA TELES,Antonio da Silva Telles,,1840-11-24,2927408,BA,121,Masculino,1,1,,
NABUCO DE ARAÚJO,José Thomaz Nabuco de Araujo,1785-07-02,1850-03-18,2927408,BA,151,Masculino,1,3,,
COSTA CARVALHO,José da Costa Carvalho,1796-02-07,1860-09-18,2927408,BA,206,Masculino,1,4,,
ALMEIDA TORRES,José Carlos Pereira de Almeida Torres,,1850-04-25,2927408,BA,136,Masculino,1,5,,
COSTA DORMUND,João Ricardo da Costa Dormund,1784-02-07,,2927408,BA,115,Masculino,1,1,,
FERREIRA FRANÇA,Antonio Ferreira França,1771-01-14,1848-03-09,2927408,BA,207,Masculino,1,3,,
GALVÃO,Manoel Antônio Galvão,1791-01-03,1850-03-21,2927408,BA,116,Masculino,1,5,,
MARCELINO DE BRITO,Joaquim Marcellino de Brito,1799-06-02,1879-01-26,2927408,BA,476,Masculino,1,9,,
GONÇALVES MARTINS,Francisco Gonçalves Martins,,,2928604,BA,1276,Masculino,1,1,,
CALMON,Miguel Calmon Du Pin e Almeida,1796-12-22,1865-09-13,2928604,BA,8,Masculino,1,4,,
MIRANDA RIBEIRO,José Cesario de Miranda Ribeiro,1792-07-01,1856-05-07,3106200,MG,145,Masculino,1,5,,
FERREIRA DE MELO,José Bento Leite Ferreira de Mello,1785-01-06,1844-02-08,3110905,MG,233,Masculino,1,3,,
TEIXEIRA DE GOUVEIA,Lucio Soares Teixeira de Gouvêa,1782-05-09,1838-11-21,3140001,MG,100,Masculino,1,1,,
VASCONCELOS,Bernardo Pereira de Vasconcellos,1795-08-27,1850-05-01,3146107,MG,149,Masculino,1,4,,
REZENDE COSTA,José de Rezende Costa,,1841-06-17,3154200,MG,146,Masculino,1,1,,
ARAÚJO VIANA,Cândido José de Araújo Vianna,1793-09-15,1875-01-23,3156700,MG,226,Masculino,1,4,,
SILVA GUIMARÃES,João Joaquim da Silva Guimarães,,1858-06-24,3156700,MG,148,Masculino,1,1,,
PEREIRA DA NÓBREGA,Luiz Pereira da Nobrega de Souza Coutinho,1778-04-02,1826-12-21,3300100,RJ,176,Masculino,1,1,,
LEDO,Joaquim Gonçalves Ledo,1781-12-11,1847-05-19,3300803,RJ,56,Masculino,1,2,,
CUNHA BARBOSA,Januário da Cunha Barboza,1780-07-10,1846-02-22,3304557,RJ,173,Masculino,1,6,,
PIZARRO,José de Souza Azevedo Pizarro e Araújo,1753-10-12,1830-05-14,3304557,RJ,178,Masculino,1,1,,
ARAÚJO BASTO,Luiz Paulo de Araújo Basto,1797-01-30,1863-07-27,3304557,RJ,111,Masculino,1,1,,
PACHECO E SILVA,José Corrêa Pacheco e Silva,,1836-05-18,3523909,SP,53,Masculino,1,3,,
PAULA SOUZA,Francisco de Paula Souza e Mello,1791-06-05,1851-08-16,3523909,SP,182,Masculino,1,2,,
COSTA AGUIAR,José Ricardo da Costa Aguiar de Andrada,1787-10-15,1846-06-23,3548500,SP,179,Masculino,1,4,,
MACHADO DE OLIVEIRA,José Joaquim Machado de Oliveira,1792-07-08,1867-08-16,3550308,SP,167,Masculino,1,6,,
FEIJÓ,Diogo Antônio Feijó,1784-08-17,1843-11-10,3550308,SP,91,Masculino,1,2,,
NUNES PIRES,Feliciano Nunes Pires,1785-12-29,1890-09-12,4205407,SC,168,Masculino,1,1,,
FRANÇA,Manoel José de Sousa França,,1856-02-08,4209409,SC,42,Masculino,1,7,,
MARQUES DE SAMPAIO,Antonio Marques de Sampaio,1778-05-22,1846-02-18,4314902,RS,140,Masculino,1,1,,
GABRIEL GETULIO,Gabriel Getúlio Monteiro de Mendonça,,1850-01-05,5103403,MT,137,Masculino,1,7,,
PINTO LIMA,Francisco Xavier Pinto Lima,1832-02-20,1909-08-09,,,690,Masculino,10,20,,
CESAR,Antonio Joaquim Cesar,,,,,716,Masculino,10,12,,
MIGUEL DE ARAÚJO,Miguel Joaquim de Araújo,,,,,935,Masculino,10,10,,
ARAUJO LIMA,Francisco de Araújo Lima,,,,,693,Masculino,10,10,,
ATAÍDE,Francisco de Assis Athayde,,,,,715,Masculino,10,10,,
GOMES DE SOUZA,Joaquim Gomes de Souza,1829-02-15,1864-06-01,,MA,707,Masculino,10,12,,
TAVARES DE MELO,José Tavares de Mello,,,,,729,Masculino,10,10,,
OLINTO MEIRA,Olyntho José Meira,1829-06-07,1901-10-09,,PB,736,Masculino,10,10,,
TOBIAS LEITE,Tobias Rabello Leite,1827-04-06,1896-08-03,,SE,771,Masculino,10,10,,
DIOGO VELHO,Diogo Velho Cavalcanti de Albuquerque,1829-11-09,1899-11-13,,PA,733,Masculino,10,16,,
CUNHA MATTOS,Libânio Augusto da Cunha Mattos,1818-10-02,1886-08-29,,PE,702,Masculino,10,10,,
CHAGAS ANDRADE,João das Chagas Andrade,,,,,718,Masculino,10,10,,
JOSÉ JOAQUIM,José Joaquim Ferreira Monteiro de Barros,,,,,723,Masculino,10,10,,
DUARTE PEREIRA,Luiz Duarte Pereira,,,,,743,Masculino,10,10,,
JUNQUEIRA,João José de Oliveira Junqueira Júnior,,1887-11-09,,,779,Masculino,10,12,,
FELIPPE DE ARAÚJO,Antonio Felippe de Araújo,,1857-06-23,,,719,Masculino,10,10,,
ANTONIO CAVALCANTI,Antonio Luiz Cavalcanti de Albuquerque,,,,,740,Masculino,10,10,,
SOUSA RIBEIRO,José da Costa Machado e Souza Ribeiro,,,,,728,Masculino,10,10,,
BORGES FORTES,João Pereira da Silva Borges Fortes,,,,,751,Masculino,10,10,,
TOSCANO BARRETO,Victorino do Rego Toscano Barreto,,,,,737,Masculino,10,10,,
FRANCISCO CAMPOS,Francisco Alvares da Silva Campos,,,,MG,721,Masculino,10,10,,
ROCHA FRANCO,Modestino Carlos da Rocha Franco,,,,,726,Masculino,10,10,,
FRIAS,Manoel de Frias e Vasconcellos,,,,,757,Masculino,10,10,,
BELFORT,José Joaquim Teixeira Vieira Belfort,,,,,705,Masculino,10,10,,
